month,team_unlocked,vc_unlocked,presale_unlocked,community_unlocked,airdrop_unlocked,market_facing_unlocked,treasury_emitted_conservative,liquidity_emitted_conservative,circulating_conservative,treasury_emitted_base,liquidity_emitted_base,circulating_base,treasury_emitted_aggressive,liquidity_emitted_aggressive,circulating_aggressive
44,177777777.77777776,50000000.0,70000000.0,150000000.0,30000000.0,477777777.7777778,0.0,0.0,477777777.7777778,44000000.0,36666666.666666664,558444444.4444444,88000000.0,73333333.33333333,639111111.1111112
45,183333333.3333333,50000000.0,70000000.0,150000000.0,30000000.0,483333333.3333333,0.0,0.0,483333333.3333333,45000000.0,37500000.0,565833333.3333333,90000000.0,75000000.0,648333333.3333333
46,188888888.8888889,50000000.0,70000000.0,150000000.0,30000000.0,488888888.8888889,0.0,0.0,488888888.8888889,46000000.0,38333333.333333336,573222222.2222222,92000000.0,76666666.66666667,657555555.5555555
47,194444444.44444445,50000000.0,70000000.0,150000000.0,30000000.0,494444444.4444444,0.0,0.0,494444444.4444444,47000000.0,39166666.666666664,580611111.111111,94000000.0,78333333.33333333,666777777.7777778
48,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,48000000.0,40000000.0,588000000.0,96000000.0,80000000.0,676000000.0
49,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,49000000.0,40833333.333333336,589833333.3333334,98000000.0,81666666.66666667,679666666.6666666
50,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,50000000.0,41666666.66666667,591666666.6666666,100000000.0,83333333.33333334,683333333.3333334
51,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,51000000.0,42500000.0,593500000.0,102000000.0,85000000.0,687000000.0
52,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,52000000.0,43333333.333333336,595333333.3333334,104000000.0,86666666.66666667,690666666.6666666
53,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,53000000.0,44166666.666666664,597166666.6666666,106000000.0,88333333.33333333,694333333.3333334
54,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,54000000.0,45000000.0,599000000.0,108000000.0,90000000.0,698000000.0
55,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,55000000.0,45833333.33333333,600833333.3333334,110000000.0,91666666.66666666,701666666.6666666
56,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,56000000.0,46666666.666666664,602666666.6666666,112000000.0,93333333.33333333,705333333.3333334
57,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,57000000.0,47500000.0,604500000.0,114000000.0,95000000.0,709000000.0
58,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,58000000.0,48333333.333333336,606333333.3333334,116000000.0,96666666.66666667,712666666.6666666
59,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,59000000.0,49166666.666666664,608166666.6666666,118000000.0,98333333.33333333,716333333.3333334
60,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,60000000.0,50000000.0,610000000.0,120000000.0,100000000.0,720000000.0
