scenario,month,price_usd,fdv_usd,market_cap_usd
Bull,46,3.1594594022495412,3159459402.2495413,1811072339.5783758
Bull,47,3.239469733026243,3239469733.0262427,1880872121.1031811
Bull,48,3.321506250000001,3321506250.000001,1953045675.0000005
Bull,49,3.405620264426065,3405620264.426065,2008748352.633974
Bull,50,3.4918643869688517,3491864386.9688516,2066019762.2899039
Bull,51,3.580292560608253,3580292560.608253,2124903634.7209983
Bull,52,3.6709600943792737,3670960094.379274,2185444909.520461
Bull,53,3.763923697966088,3763923697.9660883,2247689768.302082
Bull,54,3.8592415171721557,3859241517.172156,2311685668.7861214
Bull,55,3.956973170288595,3956973170.2885947,2377481379.8150644
Bull,56,4.05717978538354,4057179785.38354,2445127017.32448
Bull,57,4.159924038535822,4159924038.535822,2514674081.294904
Bull,58,4.265270193036881,4265270193.036881,2586175493.7113624
Bull,59,4.3732841395854285,4373284139.585428,2659685637.5578713
Bull,60,4.484033437500002,4484033437.500002,2735260396.875001
